ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
154,思明将军祠白鹤山路3-47号白鹤山路3-47号小区,118.09029977637674,24.464825000198584,69544,490,70.46,2,2,1,南北,32.0,1,满五年,中层,7.0,2,6,10,10,10
155,湖里金山金山西三里201-222号锦绣金山,118.14935189414383,24.503773765380195,38633,338,87.49,3,2,1,南北,21.0,1,,低层,6.0,2,4,10,10,10
156,"集美杏东路纺织路69-91,103-105号华铃花园",118.04176421271815,24.572865421137298,19529,120,61.45,2,2,1,南,8.0,0,满二年,低层,32.0,2,0,10,10,10
157,"湖里湖里大道兴隆路7,11,13号信达大厦",118.09022394778135,24.51190212569622,34723,250,72,2,2,1,南,23.0,1,满五年,中层,16.0,0,0,0,10,10
158,湖里金山金山西里11-133号金山小区,118.15230769047663,24.504539101244138,35979,380,105.62,3,2,2,南北,23.0,0,满二年,低层,6.0,0,6,10,10,10
159,集美杏东路宁海一里1-27号万科金域华府(一期),118.05842054047804,24.564414105268305,25017,299,119.52,3,2,0,西北,11.0,1,,低层,41.0,0,2,10,10,10
160,集美杏东路宁海五里1-26号联发杏林湾一号(二三期),118.05886289545225,24.561750414224345,32192,389,120.84,3,2,2,东南,8.0,1,满二年,高层,39.0,0,2,8,10,10
161,思明会展中心会展北里11-22号海峡国际社区(二期),118.18488581558869,24.479886481252304,83684,478,57.12,1,1,1,南北,10.0,1,满二年,高层,32.0,0,2,10,10,10
162,思明东浦路东浦一里119-201号建发花园(二期),118.12065309295657,24.475835053609472,45378,588,129.58,4,2,2,南北,24.0,1,满二年,中层,8.0,4,3,10,10,10
163,集美集美新城园博二里1-6号中航城国际社区(A区B03地块),118.05269423704954,24.586906677450102,29840,355,118.97,3,2,3,东西,24.0,1,满二年,低层,28.0,1,3,10,10,10
164,"同安城北五秀二里1-6号,五秀三里1-10号,五秀四里1-20号,西洋一里1-4号,西洋二里1-7号,西洋三里1-9号禹洲香溪里(公寓住宅)",118.16085257292437,24.751108725768216,13002,136,104.6,3,2,1,南北,7.0,0,,高层,32.0,0,1,7,8,10
165,湖里市行政中心日圆三里1-12号中央湾区珊瑚海,118.1557299785697,24.520880288541886,66632,758,113.76,3,2,3,南,10.0,1,满二年,低层,29.0,1,1,10,10,10
166,集美同集南路东安北六里3-9号海上五月花海蔚蓝,118.1211317022009,24.60186734835956,27355,339,123.93,4,2,2,东南,9.0,0,满五年,低层,39.0,1,0,10,9,10
167,思明前埔古楼北里1-75号古楼北里,118.16456042840986,24.470137324194415,44826,298,66.48,2,1,1,南,24.0,0,满五年,中层,7.0,0,0,10,4,10
168,集美集美新城九天湖三里19-39号中航城国际社区(C区南区),118.04371288701329,24.59607184649303,33127,390,117.73,4,2,2,东南,24.0,1,,低层,95.0,0,1,2,10,10
169,湖里SM商圈园山南路533-579号园山小区,118.12564863120627,24.51015816734813,31684,320,101,3,2,2,南北,27.0,1,满二年,低层,7.0,3,4,10,10,10
170,集美杏林湾路龙亭三里1-8号莲花新城臻园,118.05377770354929,24.60481550612993,28866,258,89.38,3,2,1,南,9.0,1,满五年,高层,31.0,1,0,7,10,10
171,思明将军祠文塔路88-96号文园雅阁,118.09733462470126,24.465992592644472,59929,820,136.83,3,2,2,南北,19.0,1,满五年,中层,22.0,2,3,10,10,10
172,集美杏前路锦园东二里18-27号中海锦城国际(一期),118.02395556706016,24.58702003252034,17120,145,84.7,2,2,1,南,9.0,0,满二年,高层,33.0,0,1,10,6,10
173,思明文灶厦禾路855号英才商厦,118.10034599850172,24.4695624030224,53784,258,47.97,2,2,1,南,20.0,1,满五年,低层,22.0,2,3,10,10,10
174,思明火车站汇文路79-89号罗宾森璀璨新城(二期),118.1069650192217,24.472347193438566,57747,268,46.41,1,1,1,北,8.0,1,满二年,低层,33.0,2,2,10,10,10
175,集美杏北路杏北六里35-45号国贸天悦(一期),118.04561488664939,24.584935688738224,33219,348,104.76,3,2,2,南,7.0,1,满二年,中层,32.0,2,3,10,10,10
176,思明将军祠文园路1-57号文园路1-57号小区,118.09944988921437,24.468251457720136,56993,260,45.62,2,1,1,南北,24.0,1,满二年,中层,8.0,2,3,10,10,10
177,"思明莲前西路西林西里1-85号,111-122号,西林东里2-64号金鸡亭花园小区",118.13896258405683,24.477273995093075,31908,238,74.59,2,1,1,南,6.0,1,满五年,低层,7.0,0,3,10,9,10
178,"思明火车站东坪三里1-3,28-30,55,66-68,83,94-95号东坪花园(一期)",118.11817611592313,24.4688629567623,54546,300,55,2,1,1,南,17.0,1,,中层,18.0,2,3,10,10,10
179,集美灌口双桥二里1-52号龙湖首开景粼原著,117.98300390811777,24.607340690571572,35232,310,87.99,4,2,2,北,24.0,0,满二年,中层,12.0,0,0,3,10,10
180,思明槟榔槟榔西里9-195号槟榔西里单号区,118.10685841548275,24.485454603521994,53821,286,53.14,2,1,1,南,36.0,1,满五年,高层,6.0,2,6,10,10,10
181,湖里南山兴隆路290-318号博士山庄(公寓住宅),118.1066285684878,24.511467652665054,39899,266,66.67,2,2,1,南北,24.0,1,,低层,7.0,1,1,10,10,10
182,集美集美新城龙亭六里5-7号莲花国际(C区),118.05231295814632,24.604001734735057,26129,238,91.09,2,2,1,南,9.0,1,满二年,高层,16.0,0,0,7,8,10
183,思明东浦路厦禾路1230-1234号厦门造纸厂职工宿舍楼,118.11643397925921,24.47831823562775,40685,252,61.94,5,2,1,南北,31.0,1,满五年,高层,7.0,5,5,10,10,10
184,海沧马銮湾新城鼎美东里400-425号龙湖春江彼岸(二期西区),117.98486827501242,24.541449638091926,23103,203,87.87,3,2,1,南,8.0,1,,低层,32.0,0,0,4,5,10
185,翔安隧道口浦园一里1-20号明发半岛祥湾(A区),118.22655041121531,24.56792446369289,19587,178,90.88,2,2,1,南,10.0,1,,中层,26.0,1,1,3,10,8
186,思明东浦路东坪二里111-171号自然家园,118.11560131343631,24.471409913113686,58293,788,135.18,4,2,2,南,21.0,1,满五年,低层,8.0,3,3,10,10,10
187,思明莲坂湖滨南路821-825号能群大厦,118.11509171551361,24.480202345415034,42036,688,163.67,3,2,2,东南,18.0,1,满五年,中层,26.0,5,2,10,10,10
188,集美杏前路锦园东里1-16号聚镇,118.02405401267123,24.58380024054201,17953,165,91.91,3,2,1,南,11.0,0,满二年,中层,29.0,0,1,8,6,10
189,海沧海沧生活区钟林里321-330号西雅图,118.02336423529728,24.496383236951345,22603,288,127.42,3,2,2,南,7.0,1,满五年,低层,45.0,0,0,1,8,10
190,湖里湖里大道华荣路48-50号森宝大厦,118.10456147982805,24.512003323119764,33331,398,119.41,3,2,1,南北,24.0,1,满五年,中层,10.0,1,1,10,10,10
191,思明厦大厦大海滨东区1-30号厦大海滨东区,118.10564819489149,24.43468150372994,62244,637,102.34,3,2,2,南,24.0,0,满五年,低层,7.0,0,0,10,7,10
192,集美厦门北站珩山一里1-12号万科广场,118.07487414795557,24.63753309429084,17459,165,94.51,3,2,1,东南,8.0,1,满五年,中层,49.0,3,1,8,10,10
193,翔安翔安新城鼓锣东一里2-16号世茂国风长安,118.24556221138961,24.565596740656012,32017,398,124.31,4,2,3,南北,3.0,0,,中层,6.0,0,1,5,10,10
194,同安环东海域通福北里22-37号保利和光屿海,118.147893477709,24.64049270533243,32081,426,132.79,4,2,3,南,2.0,0,满五年,中层,6.0,1,0,2,8,10
195,集美华侨大学滨水中二里19-28号世茂璀璨天城(二期),118.07290900390794,24.602984252785912,37513,468,124.76,4,2,3,南,4.0,0,满二年,中层,33.0,2,2,0,10,10
196,同安环东海域美峰二里180-189号保利叁仟栋(二期公寓住宅),118.14694347723103,24.637037347881915,32090,430,134,4,2,3,东南,9.0,0,满二年,中层,14.0,2,0,1,8,10
197,思明观音山塔埔西路71-99号水晶国际,118.1838790662748,24.499376325997435,64981,668,102.8,4,2,3,南北,11.0,1,满五年,中层,22.0,0,1,2,10,10
198,"同安环东海域美峰三里2-7,15-28,40-48号金都海尚国际(公寓住宅)",118.160615384573,24.646930031455568,25576,330,129.03,3,2,2,南,5.0,0,满二年,高层,42.0,0,1,4,10,10
199,思明槟榔槟榔东里2-142号槟榔东里(双号区),118.10965060321874,24.486336918251066,51517,265,51.44,2,1,1,西南,36.0,1,满五年,高层,7.0,3,4,10,10,10
200,海沧马銮湾新城霞光东里84-95号海沧万科城(三期),118.02405239646076,24.535216550644563,23577,212,89.92,3,2,1,南,6.0,1,满五年,高层,42.0,1,1,6,10,10
201,"海沧马銮湾新城新景东里21-24,131-136号海投第一湾(一期公寓住宅)",117.9927480928658,24.53790659421415,26881,338,125.74,3,2,2,南,5.0,1,满二年,高层,40.0,0,1,10,10,10
202,思明中山路公园东路96号之二-之五公园东路安置房,118.08899268731491,24.463722254893813,71830,780,108.59,3,2,1,南北,8.0,1,满五年,低层,12.0,2,6,10,10,10
203,海沧马銮湾新城新景东里601-630号建发和玺,117.9981458758913,24.536434973424093,31801,285,89.62,3,2,2,南,2.0,1,,低层,26.0,1,1,9,10,10
204,"翔安新店新莲一里15-19号,新莲二里23-30号,新莲三里1-10号首开领翔上郡(公寓住宅)",118.24274676027503,24.617177577592535,19311,178,92.18,3,2,1,南北,7.0,0,满二年,中层,40.0,0,3,7,10,10
205,同安城北凤祥五里180-198号华森公园首府,118.13187488846725,24.725093226296856,16869,139,82.4,3,2,1,南北,11.0,0,满五年,中层,12.0,0,1,4,10,10
206,"集美孙坂路兑英路,近兑山中路恒大帝景",118.0724988409767,24.613431057754518,24552,330,134.41,3,2,2,南北,5.0,0,满二年,高层,28.0,1,1,10,10,10
207,思明文灶厦禾路875号之1-之4金瑞园,118.10366758658259,24.471116281728094,56228,939,167,4,1,1,南北,20.0,1,满五年,高层,19.0,2,3,10,10,10
208,湖里江头嘉禾路398号中铁财富港湾,118.1227363342633,24.498285174773905,37685,220,58.38,1,1,1,南,17.0,1,满二年,高层,32.0,1,2,10,10,10
209,"海沧马銮湾新城新景西里318-341,350-352号泰禾厦门院子(公寓住宅)",117.98800116326865,24.537087139775167,22047,240,108.86,3,2,2,南,5.0,1,满二年,低层,58.0,0,0,3,10,10
210,集美集美新城龙亭二里3-13号莲花新城湖园,118.05245322708447,24.606809170099503,27682,248,89.59,2,2,2,南北,7.0,1,,低层,31.0,1,0,8,10,10
211,同安环东海域美峰二里1-23号保利叁仟栋(一期公寓住宅),118.14694347723103,24.637037347881915,29162,305,104.59,4,2,2,东南,6.0,0,满二年,中层,33.0,2,0,1,8,10
212,同安环东海域滨洲四里1-13号特房银溪墅府梅斯花园,118.15040822835421,24.65426837602678,21858,225,102.94,3,2,2,南北,6.0,0,满五年,高层,32.0,2,0,2,9,10
213,集美同集南路海凤南里2-76号古龙御景(一期),118.1123620256624,24.588242842937923,27031,245,90.64,2,2,1,南,14.0,0,满五年,中层,20.0,3,1,10,10,10
214,湖里江头江顺里48-72号国宝新城,118.12559527048128,24.50083886255152,49353,888,179.93,5,2,2,南北,20.0,1,满五年,低层,11.0,1,1,10,10,10
215,思明火车站东坪三里170-172号东坪安置房小区(二组团),118.12116216455351,24.46586089835629,44546,245,55,2,1,1,南北,24.0,1,满二年,中层,16.0,0,3,10,10,10
216,思明火车站厦禾路948-958号海峡国际天璟,118.11208809132297,24.47248615609752,58938,850,144.22,3,2,3,南北,5.0,1,满二年,中层,47.0,4,3,10,10,10
217,厦门周边龙池开发区龙池商业街20号御盛花园,118.01930535669767,24.59475338587728,8878,87,98,3,2,2,南北,16.0,0,满二年,中层,7.0,0,1,2,8,10
218,翔安翔安新城鼓锣一里1-35号翔城国际(一期),118.23832452815887,24.575702623721977,27828,248,89.12,3,2,1,南北,24.0,1,满五年,中层,11.0,3,1,5,10,10
219,海沧马銮湾新城孚莲二里185-198号建发文澜和著(二期),117.96044181706519,24.5401624747058,31638,332,104.94,4,2,2,南北,3.0,1,,中层,30.0,3,1,1,10,10
220,翔安隧道口鼓锣一里38-57号翔城国际(二期),118.2386395397057,24.577505888972993,23929,215,89.85,3,2,1,北,10.0,1,满五年,中层,11.0,3,0,4,10,10
221,翔安马巷印斗山六里19-23号联发欣悦学府,118.23598543472005,24.667526228765272,18757,155,82.64,3,2,1,南,7.0,0,满五年,中层,34.0,0,0,1,9,10
222,思明禾祥西路厦禾路779-789号亿力乐园,118.09014915206829,24.466875758151946,79542,1299,163.31,4,2,2,南北,18.0,1,满二年,中层,19.0,1,6,10,10,10
223,"翔安马巷五星一里1-10号,五星二里1-13号,五星三里1-10号,五星五里1-10号,五星六里1-27号,五星七里1-13号特房锦绣祥安",118.25324441777114,24.65918525525959,16276,145,89.09,3,2,1,南北,10.0,0,满五年,高层,18.0,0,2,4,10,10
224,海沧马銮湾新城霞光东里96-109号海沧万科城(四期),118.02691183131766,24.53478726668515,26741,298,111.44,4,2,2,南北,6.0,0,满五年,高层,42.0,1,2,9,10,10
225,湖里SM商圈禾山路82-108号嘉隆建材城小区,118.1290601332794,24.505978997382766,37513,228,60.78,2,2,1,南北,25.0,1,满五年,高层,7.0,2,3,10,10,10
226,思明体育中心体育路90-116号蓝湾国际,118.1067790690103,24.491229259261846,77607,1589,204.75,4,2,3,南北,15.0,1,,低层,31.0,3,4,10,10,10
227,海沧马銮湾新城鼎美东里130-149号龙湖春江彼岸(一期东区),117.98282975481443,24.541195790625366,23872,174,72.89,2,2,1,南,6.0,1,满二年,高层,30.0,0,0,4,8,10
228,集美同集南路天马路海上五月花(一期),118.11795439143584,24.607331019970292,26156,210,80.29,2,2,1,东南,9.0,0,,高层,32.0,1,1,10,10,10
229,湖里湖边水库片区金山西里161-208号金鹭花园,118.15343979262359,24.50711743066935,37019,298,80.5,2,2,1,南,24.0,0,,中层,6.0,0,6,9,10,10
230,思明湖滨北路湖滨中路503-517号山水芳邻,118.08741400243348,24.48692597290139,83413,1398,167.6,4,2,2,南北,15.0,1,满五年,高层,24.0,2,2,2,10,10
231,思明禾祥东路禾祥东路14-16号益城广场,118.10237130598416,24.47216843894424,49651,1250,251.76,6,4,4,南北,24.0,1,,高层,7.0,2,4,10,10,10
232,思明火车站湖滨东路88号佳祥花园,118.10855472435382,24.474912972709053,72205,1350,186.97,4,2,4,南北,16.0,1,满五年,高层,13.0,2,3,10,10,10
233,厦门周边龙池开发区崎巷路22号云龙海岸三期,118.12372664369771,24.51566566250459,8149,66,81,2,2,1,南,12.0,0,满五年,中层,18.0,3,5,10,10,10
234,集美灌口鱼孚二路17-33号融侨观澜,117.99696052772607,24.621077292526582,24751,218,88.08,3,2,2,南,4.0,0,满二年,低层,18.0,0,0,6,10,10
235,湖里南山宜宾路39号建德公寓,118.10025481480292,24.509345239375538,29573,200,67.63,2,1,1,南,33.0,1,满五年,中层,6.0,0,0,10,10,10
236,湖里枋湖枋湖东二里21-32号大洋雅苑,118.1472064200253,24.513375226771796,36451,580,159.12,4,2,2,南北,13.0,1,满五年,中层,15.0,0,4,10,10,10
237,"翔安马巷滨海东大道,近支横四路特房莱昂公馆",118.18802948967875,24.666038338264197,22259,219,98.39,3,2,2,南北,4.0,0,满二年,中层,32.0,1,0,1,10,10
238,同安城东凤山二里138-141号邮电局综合楼,118.16131658155649,24.72560654598957,11241,110,97.86,3,2,1,南,29.0,0,满五年,中层,8.0,0,3,9,10,10
239,集美杏东路宁海三里1-10号禹洲中央海岸(二期),118.0614026119956,24.567925131030716,26989,246,91.15,3,2,1,南北,9.0,1,满五年,中层,41.0,0,4,10,10,10
240,集美灌口鱼福五里1-14号禹洲璟阅城,117.99514789356554,24.60948280721221,25851,225,87.04,3,2,2,南,7.0,0,,高层,20.0,0,1,7,10,10
241,"海沧海沧生活区沧翔路282-368号,海发路191-197号海青花园",118.02925557980686,24.498834083149976,21918,182,83.04,3,2,1,南北,24.0,1,,中层,7.0,1,1,3,10,10
242,集美杏前路锦英南二里130-139号凤凰花城(三期),118.01473856594465,24.592244779898312,17056,230,134.85,3,2,2,南北,5.0,0,满二年,低层,24.0,0,2,0,4,10
243,湖里市行政中心枋湖东一里1-27号书香佳缘,118.15026645657977,24.514799897703906,40955,700,170.92,4,2,2,南北,16.0,1,满五年,低层,13.0,0,4,10,10,10
244,"海沧海沧生活区沧翔路84-118,150号鑫茂花园",118.02741258792322,24.497724922664723,20375,149,73.13,2,2,1,西南,24.0,1,,高层,8.0,1,0,4,10,10
245,思明将军祠阳鸿园1-19号阳鸿新城,118.0962696276101,24.46355294577383,73067,1230,168.34,4,2,2,南北,21.0,1,满五年,低层,14.0,1,3,10,10,10
246,同安城南杜桥里707-717号建发中央天悦,118.13489217201229,24.720805153886797,21072,199,94.44,3,2,2,南,7.0,0,满二年,中层,18.0,1,0,4,10,10
247,集美杏北路锦亭北路280-328号鑫锦家园(三期),118.02020122539349,24.600613175619458,18275,150,82.08,2,2,1,南,9.0,0,满五年,高层,18.0,0,0,0,10,10
248,"集美杏北路锦英南里55-68,79-80号夏商新纪元(二期)",118.01767986451422,24.58833670814914,22736,200,87.97,3,2,1,南北,7.0,0,满二年,中层,32.0,0,2,2,6,10
249,翔安新店祥吴三里1-15号美地雅登祥吴三里,118.23920078527908,24.62846464634132,20336,165,81.14,2,2,1,南北,24.0,0,满五年,中层,18.0,0,1,2,4,10
250,思明将军祠溪岸街60-70号亿力百家苑,118.09135871793337,24.464403936039226,78182,1338,171.14,4,2,2,南北,18.0,1,,高层,27.0,2,5,10,10,10
251,"海沧海沧生活区沧元路2-6号,沧林路169-179号吉祥花园",118.03036046805495,24.495641827769898,23658,159,67.21,2,2,1,南北,24.0,1,,,5.0,2,1,6,10,10
252,厦门周边角美湖光北路1-2号水岸新城,118.08470671877528,24.46920000126443,8153,75,92,3,2,1,南,8.0,0,满五年,中层,32.0,0,4,10,10,10
253,翔安新店祥福二里1-66号东方新城(一期),118.24394455020426,24.618694715078554,16965,132,77.81,2,2,1,南北,24.0,0,满二年,中层,6.0,0,4,7,10,10
254,厦门周边角美天美路1号角美阳光城凡尔赛宫2期,118.22563171306281,24.562983133606323,10741,87,81,3,2,1,南,8.0,0,满五年,低层,32.0,1,0,0,10,7
255,集美厦门北站珩源路517-547号高铁阳光花园,118.0632488552461,24.633731341566392,15889,143,90,2,2,1,南北,8.0,1,满五年,低层,30.0,3,1,5,10,10
256,集美杏北路康成二里22-37号夏商大学康城(三期),118.01712638246434,24.59343458981771,20034,215,107.32,4,2,1,南,9.0,0,满五年,高层,31.0,0,1,0,5,10
257,集美嘉庚体育馆天安一里1-16号国贸商城同悦,118.09968577506066,24.594211152392198,19913,278,139.61,3,2,2,南北,14.0,0,满五年,低层,34.0,1,0,10,10,10
258,思明瑞景洪莲里91-120号福满山庄,118.15954708059445,24.47861053806408,55636,1050,188.73,6,3,3,南北,16.0,1,满五年,低层,18.0,0,0,10,10,10
259,"海沧新阳工业区新嘉路165-209号,阳明路467-517号,新光路238-258号,翁角路688-758号兴旺广场",118.0067905804972,24.526231163275643,20878,149,71.37,2,2,1,南,24.0,1,,中层,7.0,0,0,7,10,10
260,湖里五缘湾运动馆五缘东七里1-8号恒禾七尚(公寓住宅),118.1769681923078,24.52623442777592,108174,4260,393.81,2,1,1,南北,9.0,1,,中层,27.0,1,1,4,8,10
261,"海沧马銮湾新城东孚东二路,近东孚南路融创云潮府",117.97143845083964,24.53440831971074,24098,215,89.22,3,2,2,南,2.0,0,,中层,27.0,0,1,5,10,10
262,思明中山路合群路34号合群路34号小区,118.08761488097268,24.46174136946203,75176,268,35.65,2,1,1,西南,39.0,1,满二年,,1.0,2,5,10,10,10
263,海沧马銮湾新城霞光东里21-65号海沧万科城(二期),118.02641504305464,24.532469432992585,19708,159,80.68,2,2,1,东南,8.0,0,满五年,低层,35.0,1,1,8,10,10
264,同安城南西溪里173-207号唐鸣祥福花园,118.13951124163198,24.727525279509745,12930,165,127.62,3,2,2,南北,19.0,0,,低层,7.0,2,1,9,10,10
265,思明禾祥西路美仁前社114-122号美仁前社114-122号小区,118.08579903955452,24.467544046130268,48327,166,34.35,1,1,1,南北,44.0,1,满二年,中层,6.0,0,5,10,10,10
266,同安城北汀溪街803-817号巴厘香泉,118.12842005061631,24.79578967632112,8793,78.8,89.62,3,2,2,南北,9.0,0,,中层,33.0,0,0,1,9,7
267,厦门周边角美滨湖路3号万益广场,118.08502283458913,24.481745758191984,9860,70,71,3,2,2,南,8.0,0,满五年,高层,18.0,1,2,1,10,10
268,同安城北城北新村25-29号城北新村25-29号小区,118.14863482574441,24.741190935874446,11250,90,80,3,2,1,南北,32.0,0,,高层,6.0,1,1,10,10,10
269,思明火车站厦禾路1017号裕发广场,118.11412147382933,24.47752000835975,54719,196,35.82,1,1,1,南,20.0,1,满五年,高层,23.0,4,5,10,10,10
270,翔安新店洪前北里17-154号禹洲卢卡小镇,118.24120995645134,24.59781604267755,28655,520,181.47,5,2,4,南北,5.0,0,满五年,,1.0,0,0,1,3,10
271,同安工业集中区梧侣路275-295号禹洲阳光花城,118.11926293937114,24.692015403263515,17700,158,89.27,3,2,2,东北,14.0,0,满五年,高层,16.0,0,0,3,10,10
272,海沧海沧生活区海旺路1-69号海沧生活区一小区,118.02856696759648,24.496409037259376,19981,210,105.1,3,2,1,南北,26.0,1,,高层,6.0,1,0,5,10,10
273,翔安新店祥吴二里1-15号美地雅登祥吴二里,118.23693762369174,24.628506827837608,22975,175,76.17,2,2,1,南,15.0,0,满二年,中层,18.0,0,0,2,4,10
274,"思明莲前西路东芳山庄1-16,20-94,97-99号东芳山庄",118.14154824624899,24.482164672771326,66332,1980,298.5,6,2,5,南北,24.0,1,满二年,,3.0,0,3,10,10,10
275,"集美集美新城园博二里139-141,197-200号中航城国际社区(A区B02地块公寓)",118.05269423704954,24.586906677450102,34831,546,156.76,4,2,3,南,8.0,1,满二年,低层,32.0,1,3,10,10,10
276,"思明瑞景洪莲东二里1-8,25-26号万科金域蓝湾(一期公寓)",118.15901966066423,24.487505234056105,54349,1028,189.15,5,2,2,南北,15.0,1,满五年,中层,28.0,1,2,10,10,10
277,湖里五缘湾北区五缘西一里63-97号中铁元湾,118.16494775692362,24.542056392585987,79960,1258,157.33,3,2,2,西南,8.0,1,,低层,16.0,1,0,10,10,10
278,同安城东双溪一里1-10号西安广场,118.1446287320355,24.732306633554355,11211,149,132.91,3,2,2,南,22.0,0,满五年,高层,6.0,1,2,10,10,10
279,"翔安翔安新城鸿翔北路,近翔安东路国贸远洋天和",118.2542450109875,24.586929241733863,32734,531,162.22,4,2,2,南北,2.0,1,,中层,6.0,2,2,5,10,10
280,集美杏北路康成二里3-19号夏商大学康城(二期),118.01736010579585,24.5931059813112,16374,110,67.18,1,1,1,南北,14.0,0,满五年,中层,32.0,0,1,0,5,10
281,湖里祥店仙岳路1933-1937号第二城快乐天地,118.13799127332021,24.503032440865336,57875,208,35.94,2,1,1,南,18.0,1,,中层,29.0,3,1,10,10,10
282,海沧海沧生活区海发路61号邮政宿舍(海发路),118.03147928281268,24.496482520021203,20837,149,71.51,2,2,1,南北,30.0,1,,高层,6.0,2,2,6,10,10
283,湖里金尚吕岭路165-181号彩虹花园,118.13339019973725,24.496195843331613,35496,185,52.12,1,1,1,东,27.0,1,满五年,高层,7.0,3,3,10,10,10
284,厦门周边龙池开发区金山路西子公寓,118.12372664369771,24.51566566250459,7411,83,112,3,2,2,南北,16.0,0,满五年,中层,18.0,3,5,10,10,10
285,同安环东海域美溪一里2-8号溢翔首府,118.15649669574044,24.647071580595966,23461,195,83.12,2,2,1,南,11.0,0,满二年,低层,28.0,1,1,5,6,10
286,海沧未来海岸片区渐美里11-97号未来橙堡A,118.01924238803711,24.47884192135939,24976,101,40.44,2,1,1,南,18.0,0,,高层,7.0,1,1,0,6,10
287,集美灌口景湖南里1-39号招商莱顿小镇,117.98493849606142,24.604150114492874,22095,250,113.15,4,2,2,东,6.0,0,满二年,中层,11.0,0,0,3,10,10
288,"同安城北城北新村51-83,100-105,109-111,113-115号城北新村51-83,100-105,109-111,113-115号小区",118.14863482574441,24.741190935874446,10583,109,103,4,1,1,南,30.0,0,满二年,高层,7.0,1,1,10,10,10
289,湖里南山南山路49号都市阳光,118.09773073279169,24.505080008569898,41053,156,38,1,1,1,南北,21.0,1,满五年,中层,6.0,0,1,9,10,10
290,同安城南瑶江里101-128号锦辉国际花园,118.15336298237908,24.718081314464357,19580,83.8,42.8,2,1,1,南,15.0,0,满二年,中层,11.0,1,1,10,10,10
291,同安城南祥桥一里65号银环佳园,118.1399239373176,24.72613819958009,11289,115,101.87,3,2,2,南北,28.0,0,满五年,高层,7.0,2,1,10,10,10
292,集美集美新城园博五里1-10号中航城国际社区(A区A02地块),118.05269423704954,24.586906677450102,50216,780,155.33,4,2,3,东南,13.0,1,满五年,,4.0,1,3,10,10,10
293,"海沧马銮湾新城东孚东二路,近东孚南路建发住宅海玥和鸣",117.97190550608296,24.536454996724345,27591,213,77.2,3,2,1,南,3.0,0,,低层,27.0,0,1,5,10,10
294,翔安翔安新城浦园北里1-9号世茂国风宸曦,118.23395951694701,24.5683733668427,29721,229,77.05,3,2,3,南北,3.0,1,,高层,32.0,2,1,4,10,10
295,思明莲前西路莲前路云松居(别墅),118.13532904388782,24.47436896456522,80300,1888,235.12,7,2,6,南北,21.0,0,满五年,低层,7.0,0,2,10,10,10
296,"湖里SM商圈成功大道,近祥岭路建发玺樾",118.07836852036942,24.454869886264856,63919,1180,184.61,5,2,2,南,3.0,1,满二年,中层,22.0,0,0,0,0,0
297,同安环东海域海城三里1-21号金帝中洲滨海城(一期),118.18265875846829,24.670788009301987,19942,288,144.42,4,2,2,南北,24.0,0,满二年,低层,29.0,1,0,1,10,6
298,海沧未来海岸片区慈济一里149-159号海投自贸城,117.98174437974946,24.4790145398851,22124,130,58.76,2,1,1,南,3.0,0,满二年,高层,33.0,0,0,3,10,10
299,"同安城北同安大道,近朝元路紫云府",118.13821746230616,24.747741421582717,18354,200,108.97,4,2,2,南北,4.0,0,,中层,30.0,0,0,2,6,10
300,思明松柏仙岳路653-1181号(单号)台湾山庄巴厘香墅,118.11753492704017,24.50121666915174,145718,6499,446,8,2,5,南北,16.0,1,满二年,,3.0,0,1,10,10,10
301,翔安马巷五权一里1-38号滨安花园,118.23758590412787,24.661106653622372,19693,109,55.35,2,2,1,南北,14.0,0,满二年,高层,11.0,0,0,1,9,10
302,思明厦大黄厝路110-141号明丽山庄,118.16675559552701,24.45803691784867,135136,5000,370,6,2,6,南北,16.0,0,满二年,低层,6.0,0,0,4,10,10
303,同安城西三秀北里1-11号银城商厦,118.14479798766182,24.73514775341772,15319,122,79.64,2,2,1,南北,19.0,0,满五年,低层,7.0,1,2,8,10,10
304,同安城南凤山二里92-96号宝鹭综合楼,118.1591189711524,24.724932496059594,11098,110,99.12,3,2,2,南北,29.0,0,满二年,高层,7.0,0,3,10,10,10
305,海沧马青路马青路8号东方高尔夫花园别墅,118.04594842001165,24.524829194298732,79526,2680,337,5,3,3,南北,16.0,0,满五年,,2.0,0,0,0,3,0
306,"同安城北汀溪二里218-222,230-231号古龙山语听溪(二里公寓住宅)",118.130689247205,24.776948189940743,8157,115,141,4,2,2,南,8.0,0,满二年,高层,12.0,0,1,1,9,1
307,思明莲花玉亭里1-13号玉亭里1-13号小区,118.12787459990396,24.48878940752913,50630,426,84.14,3,2,2,南北,34.0,1,,中层,6.0,3,4,10,10,10
308,思明莲花香莲里32-35号莲花广场,118.12480567605125,24.491294450397305,52638,499,94.8,2,2,1,南北,27.0,1,满五年,中层,35.0,2,3,10,10,10
309,思明禾祥西路美仁新村1-37号美仁新村(北区),118.08347879369023,24.46874919067715,53486,498,93.11,3,1,1,东南,38.0,1,满二年,中层,9.0,0,4,10,10,10
