ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
36,集美集美新城杏北三里119-123号橡树湾(四期),118.04310408761967,24.584507564011176,32378,289,89.26,4,2,2,南,8.0,1,满五年,中层,30.0,0,2,10,10,10
37,"同安环东海域官田洋一里7-12号,官田洋二里7-9号中海万锦熙岸",118.1363936151709,24.655557883484786,16173,145,89.66,3,2,1,南北,8.0,0,,高层,34.0,0,0,2,9,10
38,同安城南二环南路与西湖路交汇处中铁诺德逸都(新房),118.14597539860317,24.69510156325024,20063,319,159,4,2,4,南,,0,,,,0,0,1,10,10
39,思明火车站东浦路6-12号金枫园,118.11711244732139,24.473621895536205,48231,646,133.94,3,2,2,南北,18.0,1,满二年,高层,7.0,4,3,10,10,10
40,思明长青路长青路4-154号莲坂西小区,118.11590942781348,24.489170799080007,43334,338,78,3,2,1,南,28.0,1,满二年,高层,6.0,4,6,10,10,10
41,思明火车站厦禾路1026号益泰大厦,118.11326469039615,24.47371726285935,43770,209,47.75,2,2,1,北,18.0,1,,低层,23.0,4,3,10,10,10
42,思明火车站厦禾路1116-1120号假日花园,118.11504798211622,24.475017325923176,72697,688,94.64,5,4,3,南北,21.0,1,满二年,高层,12.0,4,4,10,10,10
43,"思明前埔前埔二里129-224号,田厝路1-27号前埔北区二里",118.16814687770128,24.476731974386386,38776,370,95.42,3,2,1,南,23.0,1,满五年,高层,6.0,0,1,10,10,10
44,集美集美新城龙亭一里2-12号莲花新城(三期),118.05208997026716,24.60768731050586,27918,338,121.07,3,2,2,南,7.0,1,满五年,高层,29.0,1,0,8,10,10
45,湖里枋湖梧桐西里1-13号中央美地,118.139508470438,24.51258600807296,54849,483,88.06,2,2,2,南,12.0,0,,高层,22.0,0,3,10,10,10
46,思明禾祥东路禾祥东路28号金祥大厦,118.1045863779128,24.47289609701165,40404,898,222.26,8,3,3,南北,24.0,1,满五年,高层,24.0,2,2,10,10,10
47,集美嘉庚体育馆乐海北里221-230号泉舜泉水湾(二期),118.10662010893725,24.589107433504246,28361,250,88.15,2,2,1,南,14.0,0,,中层,26.0,3,1,10,10,10
48,湖里南山南山路500-532号半山豪园一期,118.11367741616601,24.50470312372149,44482,528,118.7,4,2,2,南北,21.0,1,满五年,中层,6.0,1,2,10,10,10
49,集美杏东路宁海二里19-24号禹洲中央海岸(三期),118.06103027140675,24.566313668217358,24821,228,91.86,2,2,1,南,8.0,1,满五年,低层,50.0,0,3,10,10,10
50,思明禾祥东路金榜路102-146号东方巴黎,118.10588266858294,24.47299265036745,57280,716,125,3,2,2,东南,21.0,1,满二年,低层,11.0,2,1,10,10,10
51,思明火车站厦禾路999号源昌商业中心,118.11414133962944,24.47653328035988,93837,918,97.83,5,2,2,南北,16.0,1,满五年,高层,11.0,4,4,10,10,10
52,思明松柏嘉禾路335号天宝大厦,118.121526834207,24.498009061058195,66113,159,24.05,1,0,1,南,20.0,1,,高层,31.0,1,2,10,10,10
53,思明禾祥西路湖滨西路5号叉车厂宿舍,118.07390486713177,24.46374208616453,66185,668,100.93,4,2,2,南北,26.0,1,满五年,低层,8.0,0,4,7,10,10
54,"集美集美新城诚毅西路,近锦亭北路中海杏林鹭湾",118.03904195154333,24.606819326248807,44538,468,105.08,3,2,2,东南,2.0,1,满二年,低层,26.0,0,0,2,10,10
55,思明松柏莲岳里32-204号莲岳里小区,118.11259483826568,24.495100717930566,56757,420,74,3,1,1,南北,27.0,1,满五年,中层,8.0,3,2,10,10,10
56,"翔安新店金曾南里7,9号东城合院(公寓住宅)",118.24322523388021,24.624345415501377,18961,163,85.97,3,2,2,南,10.0,0,,高层,40.0,0,5,7,10,10
57,思明火车站禾祥东一里1-32号文灶地铁社区一期,118.09871004701034,24.472168077770444,66237,728,109.91,3,2,2,南北,5.0,1,,高层,33.0,1,5,10,10,10
58,思明禾祥西路豆仔尾路171-179号富华广场,118.08338433297155,24.46678496610663,65821,819,124.43,3,2,2,南北,18.0,1,满二年,中层,12.0,0,4,10,10,10
59,同安城西凤祥五里101-132号厦航高郡,118.13237245808247,24.72716114464005,20359,135,66.31,3,2,1,南,11.0,0,,高层,29.0,0,1,4,10,10
60,湖里南山康乐路200号检察院宿舍(湖里),118.10863913520718,24.507727503116367,32693,255,78,2,1,1,南,31.0,1,满五年,中层,7.0,1,2,10,10,10
61,思明禾祥西路湖滨南路94-104号五龙大厦,118.08883686094121,24.471816741864444,63138,860,136.21,4,3,2,南北,23.0,1,满五年,低层,15.0,0,2,10,10,10
62,同安环东海域同集中路1275-1297号中联观云溪,118.13102329173925,24.66311579938285,16166,158,97.74,4,2,2,南,7.0,0,,低层,16.0,0,0,2,10,10
